r (m) ,0,0.25,0.5,0,0.25,0.5,0,0.25,0.5,0,0.25,0.5,0,0.25,0.5
z (m) ,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,1,1,1
,,,,,,,,,,,,,,,
t (hr) ,T (degC) ,,,,,,,,,,,,,,
0,27.99853569,27.99853678,28.00095576,28.00397948,28.00398058,28.00645994,28.00394843,28.00394952,28.00636694,28.00385576,28.00385683,28.0060894,27.99829034,27.99829136,28.00022088
0.1,31.79444537,32.74910259,40.42280674,35.21918187,36.46229402,45.66542962,35.16285541,36.39626839,45.51149894,34.99475499,36.19922179,45.05210891,31.43998904,32.33704718,39.45109116
0.2,35.46248811,37.98647258,50.76324921,41.4073897,44.98378298,61.29751039,41.30278079,44.85126987,61.01689853,40.99058642,44.4557983,60.17944177,34.85527709,37.22878942,49.12794335
0.3,38.51304021,42.91743042,59.22476437,46.90595808,53.57351506,75.23307401,46.75844874,53.37398378,74.84060184,46.31821762,52.77849638,73.66930424,37.70473444,41.84921683,57.06516099
0.4,41.18960066,47.64350028,66.63221276,51.96647511,62.21827651,88.14095467,51.77948893,61.95130659,87.64533612,51.22141538,61.15451301,86.16617666,40.20900433,46.28506393,64.02276901
0.5,43.56503431,52.19327762,73.21509266,56.66098305,70.91862552,100.1987998,56.43739316,70.58381146,99.60714357,55.76998228,69.58438895,97.84125373,42.43438909,50.56094791,70.21243477
0.6,45.76374944,56.63474145,79.31782016,61.13563717,79.65659533,111.7431617,60.87717886,79.25367648,111.0597379,60.10553001,78.05071601,109.0197642,44.49583169,54.7382203,75.95439773
0.7,47.7650362,60.9495659,84.88275156,65.35991719,88.44311064,122.6926827,65.06858453,87.97177677,121.922429,64.19848703,86.56407925,119.6229075,46.37390418,58.79993276,81.19444373
0.8,49.58132637,65.13818124,89.93673881,69.34491595,97.28406935,133.053308,69.02264933,96.74402301,132.2011241,68.05960131,95.13019336,129.6563082,48.07995831,62.7462245,85.95714159
0.9,51.24174282,69.21163656,94.54654304,73.12519933,106.1815278,142.8778875,72.77371839,105.5725465,141.9482795,71.72236422,103.7510513,139.1709931,49.64094556,66.58700707,90.3044352
1,52.77616955,73.18261499,98.7783567,76.73935118,115.1358762,152.2247233,76.3601443,114.4578692,151.2217991,75.22416039,112.4270322,148.2233056,51.0846244,70.33377653,94.29790278
1.1,54.20960516,77.06201596,102.6854312,80.22216148,124.1467118,161.1431869,79.81653998,123.3997817,160.0707721,78.5986988,121.157748,156.8609815,52.43427456,73.99645829,97.98715895
1.2,55.56180934,80.85851538,106.3088958,83.60315484,133.2130077,169.6728455,83.1723213,132.39752,168.5346072,81.87458724,129.9422077,165.1222898,53.70833095,77.58297096,101.4105641
1.3,56.84835915,84.57896558,109.6811755,86.90710682,142.3330916,177.8458238,86.45222036,141.4497518,176.6453744,85.07583275,138.7787964,173.0383093,54.92134448,81.09957251,104.5983817
1.4,58.08168275,88.22882612,112.8286252,90.15485423,151.5046231,185.6888788,89.67708913,150.5545576,184.4298599,88.22262686,147.6652551,180.6349319,56.08493465,84.55124621,107.5752227
1.5,59.271811,91.81247162,115.7731469,93.3639929,160.7246085,193.2247324,92.86459044,159.7094451,191.910883,91.33202195,156.5986941,187.9341493,57.20848614,87.94197958,110.3615498
1.6,60.42690575,95.33340555,118.5332012,96.54943218,169.989444,200.4729215,96.02974608,168.9113893,199.1081322,94.41846853,165.5756361,194.9548753,58.29963955,91.27495912,112.9746172
1.7,61.55364474,98.79442079,121.124506,99.72383637,179.2949789,207.4503957,99.18537268,178.1568875,206.0387497,97.49424307,174.5920764,201.7135222,59.36464951,94.55271703,115.429122
1.8,62.65751316,102.1977287,123.5605605,102.8979804,188.6365874,214.1719724,102.3424327,187.4420239,212.7177737,100.5697927,183.6435537,208.2244412,60.40865612,97.7772495,117.7376909
1.9,63.74303024,105.5450658,125.8530491,106.0810398,198.0092457,220.6506958,105.5103206,196.762535,219.1584865,103.6540162,192.7252235,214.5002682,61.43589605,100.9501149,119.9112571
2,64.81392781,108.8377828,128.0121588,109.2808295,207.4076084,226.8981237,108.6970982,206.1138756,225.372691,106.754495,201.8319318,220.5522018,62.44986908,104.0725152,121.9593552
2.1,65.87329229,112.0769175,130.0468281,112.5040015,216.8260813,232.924559,111.9096906,215.4912808,231.3709342,109.8776855,210.9582861,226.3902257,63.45347061,107.1453644,123.8903538
2.2,66.92367835,115.2632561,131.9649465,115.7562106,226.2588896,238.7392367,115.1540491,224.8898234,237.1626875,113.0290784,220.0987199,232.0232906,64.44909785,110.1693441,125.7116413
2.3,67.96720015,118.3973826,133.7735144,119.0422515,235.7001383,244.3504777,118.4352869,234.3044652,242.7564952,116.2133325,229.2475519,237.4594618,65.43873502,113.1449495,127.4297754
2.4,69.00560503,121.47972,135.478774,122.3661748,245.1438671,249.7658155,121.7577931,243.7301017,248.1600976,119.4343863,238.3990376,242.7060419,66.42402234,116.0725281,129.0506043
2.5,70.04033329,124.5105636,137.0863162,125.7313832,254.5840966,254.9921009,125.1253278,253.1616014,253.3805331,122.6955517,247.5474149,247.7696723,67.40631187,118.9523102,130.5793677
2.6,71.07256688,127.490109,138.6011691,129.1407135,264.0148694,260.0355903,128.5411018,262.5938388,258.4242247,125.9995929,256.6869424,252.6564181,68.38671316,121.7844345,132.0207787
2.7,72.10326941,130.4184738,140.0278724,132.5965054,273.4302834,264.9020198,132.0078444,272.0217223,263.2970528,129.348793,265.8119325,257.3718399,69.36613062,124.5689691,133.3790934
